Option,Concept,Values,Num_Values
project.dependencies.dependency.io.springfox:springfox-swagger2:2.6.1.groupId,maven,['io.springfox'],1
project.dependencies.dependency.io.springfox:springfox-swagger2:2.6.1.version,maven,['2.6.1'],1
project.dependencies.dependency.io.springfox:springfox-swagger2:2.7.0.artifactId,maven,['springfox-swagger2'],1
project.dependencies.dependency.io.springfox:springfox-swagger2:2.7.0.groupId,maven,['io.springfox'],1
project.dependencies.dependency.io.springfox:springfox-swagger2:2.7.0.version,maven,['2.7.0'],1
project.dependencies.dependency.jakarta.validation:jakarta.validation-api.artifactId,maven,['jakarta.validation-api'],1
project.dependencies.dependency.jakarta.validation:jakarta.validation-api.groupId,maven,['jakarta.validation'],1
project.dependencies.dependency.mysql:mysql-connector-java.artifactId,maven,['mysql-connector-java'],1
project.dependencies.dependency.mysql:mysql-connector-java.groupId,maven,['mysql'],1
project.dependencies.dependency.mysql:mysql-connector-java:5.1.42.artifactId,maven,['mysql-connector-java'],1
project.dependencies.dependency.mysql:mysql-connector-java:5.1.42.groupId,maven,['mysql'],1
project.dependencies.dependency.mysql:mysql-connector-java:5.1.42.version,maven,['5.1.42'],1
project.dependencies.dependency.mysql:mysql-connector-java:5.1.46.artifactId,maven,['mysql-connector-java'],1
project.dependencies.dependency.mysql:mysql-connector-java:5.1.46.groupId,maven,['mysql'],1
project.dependencies.dependency.mysql:mysql-connector-java:5.1.46.version,maven,['5.1.46'],1
project.dependencies.dependency.mysql:mysql-connector-java:8.0.15.artifactId,maven,['mysql-connector-java'],1
project.dependencies.dependency.mysql:mysql-connector-java:8.0.15.groupId,maven,['mysql'],1
project.dependencies.dependency.mysql:mysql-connector-java:8.0.15.version,maven,['8.0.15'],1
project.dependencies.dependency.net.logstash.logback:logstash-logback-encoder.artifactId,maven,['logstash-logback-encoder'],1
project.dependencies.dependency.net.logstash.logback:logstash-logback-encoder.groupId,maven,['net.logstash.logback'],1
project.dependencies.dependency.net.logstash.logback:logstash-logback-encoder:4.8.artifactId,maven,['logstash-logback-encoder'],1
project.dependencies.dependency.net.logstash.logback:logstash-logback-encoder:4.8.groupId,maven,['net.logstash.logback'],1
project.dependencies.dependency.net.logstash.logback:logstash-logback-encoder:4.8.version,maven,['4.8'],1
project.dependencies.dependency.org.apache.commons:commons-pool2.artifactId,maven,['commons-pool2'],1
project.dependencies.dependency.org.apache.commons:commons-pool2.groupId,maven,['org.apache.commons'],1
project.dependencies.dependency.org.mybatis.generator:mybatis-generator-core.artifactId,maven,['mybatis-generator-core'],1
project.dependencies.dependency.org.mybatis.generator:mybatis-generator-core.groupId,maven,['org.mybatis.generator'],1
project.dependencies.dependency.org.mybatis.generator:mybatis-generator-core:1.3.3.artifactId,maven,['mybatis-generator-core'],1
project.dependencies.dependency.org.mybatis.generator:mybatis-generator-core:1.3.3.groupId,maven,['org.mybatis.generator'],1
project.dependencies.dependency.org.mybatis.generator:mybatis-generator-core:1.3.3.version,maven,['1.3.3'],1
project.dependencies.dependency.org.mybatis.generator:mybatis-generator-core:1.3.7.artifactId,maven,['mybatis-generator-core'],1
project.dependencies.dependency.org.mybatis.generator:mybatis-generator-core:1.3.7.groupId,maven,['org.mybatis.generator'],1
project.dependencies.dependency.org.mybatis.generator:mybatis-generator-core:1.3.7.version,maven,['1.3.7'],1
project.dependencies.dependency.org.mybatis.spring.boot:mybatis-spring-boot-starter.artifactId,maven,['mybatis-spring-boot-starter'],1
project.dependencies.dependency.org.mybatis.spring.boot:mybatis-spring-boot-starter.groupId,maven,['org.mybatis.spring.boot'],1
project.dependencies.dependency.org.mybatis.spring.boot:mybatis-spring-boot-starter:1.2.0.artifactId,maven,['mybatis-spring-boot-starter'],1
project.dependencies.dependency.org.mybatis.spring.boot:mybatis-spring-boot-starter:1.2.0.groupId,maven,['org.mybatis.spring.boot'],1
project.dependencies.dependency.org.mybatis.spring.boot:mybatis-spring-boot-starter:1.2.0.version,maven,['1.2.0'],1
project.dependencies.dependency.org.mybatis:mybatis:3.4.2.artifactId,maven,['mybatis'],1
project.dependencies.dependency.org.mybatis:mybatis:3.4.2.groupId,maven,['org.mybatis'],1
project.dependencies.dependency.org.mybatis:mybatis:3.4.2.version,maven,['3.4.2'],1
project.dependencies.dependency.org.mybatis:mybatis:3.4.6.artifactId,maven,['mybatis'],1
project.dependencies.dependency.org.mybatis:mybatis:3.4.6.groupId,maven,['org.mybatis'],1
project.dependencies.dependency.org.mybatis:mybatis:3.4.6.version,maven,['3.4.6'],1
project.dependencies.dependency.org.projectlombok:lombok.artifactId,maven,['lombok'],1
project.dependencies.dependency.org.projectlombok:lombok.groupId,maven,['org.projectlombok'],1
project.dependencies.dependency.org.projectlombok:lombok.optional,maven,['true'],1
project.dependencies.dependency.org.springframework.boot:spring-boot-configuration-processor.artifactId,maven,['spring-boot-configuration-processor'],1
project.dependencies.dependency.org.springframework.boot:spring-boot-configuration-processor.groupId,maven,['org.springframework.boot'],1
project.dependencies.dependency.org.springframework.boot:spring-boot-configuration-processor.optional,maven,['true'],1
project.dependencies.dependency.org.springframework.boot:spring-boot-starter-actuator.artifactId,maven,['spring-boot-starter-actuator'],1
project.dependencies.dependency.org.springframework.boot:spring-boot-starter-actuator.groupId,maven,['org.springframework.boot'],1
project.dependencies.dependency.org.springframework.boot:spring-boot-starter-amqp.artifactId,maven,['spring-boot-starter-amqp'],1
project.dependencies.dependency.org.springframework.boot:spring-boot-starter-amqp.groupId,maven,['org.springframework.boot'],1
project.dependencies.dependency.org.springframework.boot:spring-boot-starter-aop.artifactId,maven,['spring-boot-starter-aop'],1
project.dependencies.dependency.org.springframework.boot:spring-boot-starter-aop.groupId,maven,['org.springframework.boot'],1
project.dependencies.dependency.org.springframework.boot:spring-boot-starter-cache.artifactId,maven,['spring-boot-starter-cache'],1
project.dependencies.dependency.org.springframework.boot:spring-boot-starter-cache.groupId,maven,['org.springframework.boot'],1
project.dependencies.dependency.org.springframework.boot:spring-boot-starter-data-elasticsearch.artifactId,maven,['spring-boot-starter-data-elasticsearch'],1
project.dependencies.dependency.org.springframework.boot:spring-boot-starter-data-elasticsearch.groupId,maven,['org.springframework.boot'],1
project.dependencies.dependency.org.springframework.boot:spring-boot-starter-data-mongodb.artifactId,maven,['spring-boot-starter-data-mongodb'],1
project.dependencies.dependency.org.springframework.boot:spring-boot-starter-data-mongodb.groupId,maven,['org.springframework.boot'],1
project.dependencies.dependency.org.springframework.boot:spring-boot-starter-data-redis.artifactId,maven,['spring-boot-starter-data-redis'],1
project.dependencies.dependency.org.springframework.boot:spring-boot-starter-data-redis.groupId,maven,['org.springframework.boot'],1
project.dependencies.dependency.org.springframework.boot:spring-boot-starter-redis:1.3.8.RELEASE.artifactId,maven,['spring-boot-starter-redis'],1
project.dependencies.dependency.org.springframework.boot:spring-boot-starter-redis:1.3.8.RELEASE.groupId,maven,['org.springframework.boot'],1
project.dependencies.dependency.org.springframework.boot:spring-boot-starter-redis:1.3.8.RELEASE.version,maven,['1.3.8.RELEASE'],1
project.dependencies.dependency.org.springframework.boot:spring-boot-starter-security.artifactId,maven,['spring-boot-starter-security'],1
project.dependencies.dependency.org.springframework.boot:spring-boot-starter-security.groupId,maven,['org.springframework.boot'],1
project.dependencies.dependency.org.springframework.boot:spring-boot-starter-test.artifactId,maven,['spring-boot-starter-test'],1
project.dependencies.dependency.org.springframework.boot:spring-boot-starter-test.groupId,maven,['org.springframework.boot'],1
project.dependencies.dependency.org.springframework.boot:spring-boot-starter-test.scope,maven,['test'],1
project.dependencies.dependency.org.springframework.boot:spring-boot-starter-thymeleaf.artifactId,maven,['spring-boot-starter-thymeleaf'],1
project.dependencies.dependency.org.springframework.boot:spring-boot-starter-thymeleaf.groupId,maven,['org.springframework.boot'],1
project.dependencies.dependency.org.springframework.boot:spring-boot-starter-validation.artifactId,maven,['spring-boot-starter-validation'],1
project.dependencies.dependency.org.springframework.boot:spring-boot-starter-validation.groupId,maven,['org.springframework.boot'],1
project.dependencies.dependency.org.springframework.boot:spring-boot-starter-web.artifactId,maven,['spring-boot-starter-web'],1
project.dependencies.dependency.org.springframework.boot:spring-boot-starter-web.groupId,maven,['org.springframework.boot'],1
project.dependencies.dependency.org.springframework.cloud:spring-cloud-config-server.artifactId,maven,['spring-cloud-config-server'],1
project.dependencies.dependency.org.springframework.cloud:spring-cloud-config-server.groupId,maven,['org.springframework.cloud'],1
project.dependencies.dependency.org.springframework.cloud:spring-cloud-starter-bootstrap.artifactId,maven,['spring-cloud-starter-bootstrap'],1
project.dependencies.dependency.org.springframework.cloud:spring-cloud-starter-bootstrap.groupId,maven,['org.springframework.cloud'],1
project.dependencies.dependency.org.springframework.cloud:spring-cloud-starter-config.artifactId,maven,['spring-cloud-starter-config'],1
project.dependencies.dependency.org.springframework.cloud:spring-cloud-starter-config.groupId,maven,['org.springframework.cloud'],1
project.dependencies.dependency.org.springframework.cloud:spring-cloud-starter-gateway.artifactId,maven,['spring-cloud-starter-gateway'],1
project.dependencies.dependency.org.springframework.cloud:spring-cloud-starter-gateway.groupId,maven,['org.springframework.cloud'],1
project.dependencies.dependency.org.springframework.cloud:spring-cloud-starter-loadbalancer.artifactId,maven,['spring-cloud-starter-loadbalancer'],1
project.dependencies.dependency.org.springframework.cloud:spring-cloud-starter-loadbalancer.groupId,maven,['org.springframework.cloud'],1
project.dependencies.dependency.org.springframework.cloud:spring-cloud-starter-netflix-eureka-client.artifactId,maven,['spring-cloud-starter-netflix-eureka-client'],1
project.dependencies.dependency.org.springframework.cloud:spring-cloud-starter-netflix-eureka-client.groupId,maven,['org.springframework.cloud'],1
project.dependencies.dependency.org.springframework.cloud:spring-cloud-starter-netflix-eureka-server.artifactId,maven,['spring-cloud-starter-netflix-eureka-server'],1
project.dependencies.dependency.org.springframework.cloud:spring-cloud-starter-netflix-eureka-server.groupId,maven,['org.springframework.cloud'],1
project.dependencies.dependency.org.springframework.cloud:spring-cloud-starter-netflix-zuul.artifactId,maven,['spring-cloud-starter-netflix-zuul'],1
project.dependencies.dependency.org.springframework.cloud:spring-cloud-starter-netflix-zuul.groupId,maven,['org.springframework.cloud'],1
project.dependencies.dependency.org.springframework.cloud:spring-cloud-starter-oauth2.artifactId,maven,['spring-cloud-starter-oauth2'],1
project.dependencies.dependency.org.springframework.cloud:spring-cloud-starter-oauth2.groupId,maven,['org.springframework.cloud'],1
project.dependencies.dependency.org.springframework.cloud:spring-cloud-starter-oauth2:${spring-cloud-starter-oauth2.version}.artifactId,maven,['spring-cloud-starter-oauth2'],1
project.dependencies.dependency.org.springframework.cloud:spring-cloud-starter-oauth2:${spring-cloud-starter-oauth2.version}.groupId,maven,['org.springframework.cloud'],1
project.dependencies.dependency.org.springframework.cloud:spring-cloud-starter-oauth2:${spring-cloud-starter-oauth2.version}.version,maven,['${spring-cloud-starter-oauth2.version}'],1
project.dependencies.dependency.org.springframework.cloud:spring-cloud-starter-openfeign.artifactId,maven,['spring-cloud-starter-openfeign'],1
project.dependencies.dependency.org.springframework.cloud:spring-cloud-starter-openfeign.groupId,maven,['org.springframework.cloud'],1
project.dependencies.dependency.org.springframework.cloud:spring-cloud-starter-security.artifactId,maven,['spring-cloud-starter-security'],1
project.dependencies.dependency.org.springframework.cloud:spring-cloud-starter-security.groupId,maven,['org.springframework.cloud'],1
project.dependencies.dependency.org.springframework.data:spring-data-commons.artifactId,maven,['spring-data-commons'],1
project.dependencies.dependency.org.springframework.data:spring-data-commons.groupId,maven,['org.springframework.data'],1
project.dependencies.dependency.org.springframework.data:spring-data-commons:2.1.5.RELEASE.artifactId,maven,['spring-data-commons'],1
project.dependencies.dependency.org.springframework.data:spring-data-commons:2.1.5.RELEASE.groupId,maven,['org.springframework.data'],1
project.dependencies.dependency.org.springframework.data:spring-data-commons:2.1.5.RELEASE.scope,maven,['compile'],1
project.dependencies.dependency.org.springframework.data:spring-data-commons:2.1.5.RELEASE.version,maven,['2.1.5.RELEASE'],1
project.dependencies.dependency.org.springframework.security:spring-security-config.artifactId,maven,['spring-security-config'],1
project.dependencies.dependency.org.springframework.security:spring-security-config.groupId,maven,['org.springframework.security'],1
project.dependencies.dependency.org.springframework.security:spring-security-core:5.1.6.RELEASE.artifactId,maven,['spring-security-core'],1
project.dependencies.dependency.org.springframework.security:spring-security-core:5.1.6.RELEASE.groupId,maven,['org.springframework.security'],1
project.dependencies.dependency.org.springframework.security:spring-security-core:5.1.6.RELEASE.scope,maven,['compile'],1
project.dependencies.dependency.org.springframework.security:spring-security-core:5.1.6.RELEASE.version,maven,['5.1.6.RELEASE'],1
project.dependencies.dependency.org.springframework.security:spring-security-oauth2-client.artifactId,maven,['spring-security-oauth2-client'],1
project.dependencies.dependency.org.springframework.security:spring-security-oauth2-client.groupId,maven,['org.springframework.security'],1
project.dependencies.dependency.org.springframework.security:spring-security-oauth2-jose.artifactId,maven,['spring-security-oauth2-jose'],1
project.dependencies.dependency.org.springframework.security:spring-security-oauth2-jose.groupId,maven,['org.springframework.security'],1
project.dependencies.dependency.org.springframework.security:spring-security-oauth2-resource-server.artifactId,maven,['spring-security-oauth2-resource-server'],1
project.dependencies.dependency.org.springframework.security:spring-security-oauth2-resource-server.groupId,maven,['org.springframework.security'],1
project.dependencyManagement.dependencies.dependency.cn.dev33:sa-token-jwt:${sa-token.version}.artifactId,maven,['sa-token-jwt'],1
project.dependencyManagement.dependencies.dependency.cn.dev33:sa-token-jwt:${sa-token.version}.groupId,maven,['cn.dev33'],1
project.dependencyManagement.dependencies.dependency.cn.dev33:sa-token-jwt:${sa-token.version}.version,maven,['${sa-token.version}'],1
project.dependencyManagement.dependencies.dependency.cn.dev33:sa-token-reactor-spring-boot3-starter:${sa-token.version}.artifactId,maven,['sa-token-reactor-spring-boot3-starter'],1
project.dependencyManagement.dependencies.dependency.cn.dev33:sa-token-reactor-spring-boot3-starter:${sa-token.version}.groupId,maven,['cn.dev33'],1
project.dependencyManagement.dependencies.dependency.cn.dev33:sa-token-reactor-spring-boot3-starter:${sa-token.version}.version,maven,['${sa-token.version}'],1
project.dependencyManagement.dependencies.dependency.cn.dev33:sa-token-redis-jackson:${sa-token.version}.artifactId,maven,['sa-token-redis-jackson'],1
project.dependencyManagement.dependencies.dependency.cn.dev33:sa-token-redis-jackson:${sa-token.version}.groupId,maven,['cn.dev33'],1
project.dependencyManagement.dependencies.dependency.cn.dev33:sa-token-redis-jackson:${sa-token.version}.version,maven,['${sa-token.version}'],1
project.dependencyManagement.dependencies.dependency.cn.dev33:sa-token-spring-boot3-starter:${sa-token.version}.artifactId,maven,['sa-token-spring-boot3-starter'],1
project.dependencyManagement.dependencies.dependency.cn.dev33:sa-token-spring-boot3-starter:${sa-token.version}.groupId,maven,['cn.dev33'],1
project.dependencyManagement.dependencies.dependency.cn.dev33:sa-token-spring-boot3-starter:${sa-token.version}.version,maven,['${sa-token.version}'],1
project.dependencyManagement.dependencies.dependency.cn.hutool:hutool-all:${hutool.version}.artifactId,maven,['hutool-all'],1
project.dependencyManagement.dependencies.dependency.cn.hutool:hutool-all:${hutool.version}.groupId,maven,['cn.hutool'],1
project.dependencyManagement.dependencies.dependency.cn.hutool:hutool-all:${hutool.version}.version,maven,['${hutool.version}'],1
project.dependencyManagement.dependencies.dependency.com.alibaba.cloud:spring-cloud-alibaba-dependencies:${spring-cloud-alibaba.version}.artifactId,maven,['spring-cloud-alibaba-dependencies'],1
project.dependencyManagement.dependencies.dependency.com.alibaba.cloud:spring-cloud-alibaba-dependencies:${spring-cloud-alibaba.version}.groupId,maven,['com.alibaba.cloud'],1
project.dependencyManagement.dependencies.dependency.com.alibaba.cloud:spring-cloud-alibaba-dependencies:${spring-cloud-alibaba.version}.scope,maven,['import'],1
project.dependencyManagement.dependencies.dependency.com.alibaba.cloud:spring-cloud-alibaba-dependencies:${spring-cloud-alibaba.version}.type,maven,['pom'],1
project.dependencyManagement.dependencies.dependency.com.alibaba.cloud:spring-cloud-alibaba-dependencies:${spring-cloud-alibaba.version}.version,maven,['${spring-cloud-alibaba.version}'],1
project.dependencyManagement.dependencies.dependency.com.alibaba:druid-spring-boot-starter:${druid.version}.artifactId,maven,['druid-spring-boot-starter'],1
project.dependencyManagement.dependencies.dependency.com.alibaba:druid-spring-boot-starter:${druid.version}.groupId,maven,['com.alibaba'],1
project.dependencyManagement.dependencies.dependency.com.alibaba:druid-spring-boot-starter:${druid.version}.version,maven,['${druid.version}'],1
project.dependencyManagement.dependencies.dependency.com.alipay.sdk:alipay-sdk-java:${alipay-sdk.version}.artifactId,maven,['alipay-sdk-java'],1
project.dependencyManagement.dependencies.dependency.com.alipay.sdk:alipay-sdk-java:${alipay-sdk.version}.groupId,maven,['com.alipay.sdk'],1
project.dependencyManagement.dependencies.dependency.com.alipay.sdk:alipay-sdk-java:${alipay-sdk.version}.version,maven,['${alipay-sdk.version}'],1
project.dependencyManagement.dependencies.dependency.com.aliyun.oss:aliyun-sdk-oss:${aliyun-oss.version}.artifactId,maven,['aliyun-sdk-oss'],1
project.dependencyManagement.dependencies.dependency.com.aliyun.oss:aliyun-sdk-oss:${aliyun-oss.version}.groupId,maven,['com.aliyun.oss'],1
project.dependencyManagement.dependencies.dependency.com.aliyun.oss:aliyun-sdk-oss:${aliyun-oss.version}.version,maven,['${aliyun-oss.version}'],1
project.dependencyManagement.dependencies.dependency.com.github.pagehelper:pagehelper-spring-boot-starter:${pagehelper-starter.version}.artifactId,maven,['pagehelper-spring-boot-starter'],1
project.dependencyManagement.dependencies.dependency.com.github.pagehelper:pagehelper-spring-boot-starter:${pagehelper-starter.version}.groupId,maven,['com.github.pagehelper'],1
project.dependencyManagement.dependencies.dependency.com.github.pagehelper:pagehelper-spring-boot-starter:${pagehelper-starter.version}.version,maven,['${pagehelper-starter.version}'],1
project.dependencyManagement.dependencies.dependency.com.github.pagehelper:pagehelper:${pagehelper.version}.artifactId,maven,['pagehelper'],1
project.dependencyManagement.dependencies.dependency.com.github.pagehelper:pagehelper:${pagehelper.version}.groupId,maven,['com.github.pagehelper'],1
project.dependencyManagement.dependencies.dependency.com.github.pagehelper:pagehelper:${pagehelper.version}.version,maven,['${pagehelper.version}'],1
project.dependencyManagement.dependencies.dependency.com.github.xiaoymin:knife4j-gateway-spring-boot-starter:${knife4j.version}.artifactId,maven,['knife4j-gateway-spring-boot-starter'],1
project.dependencyManagement.dependencies.dependency.com.github.xiaoymin:knife4j-gateway-spring-boot-starter:${knife4j.version}.groupId,maven,['com.github.xiaoymin'],1
project.dependencyManagement.dependencies.dependency.com.github.xiaoymin:knife4j-gateway-spring-boot-starter:${knife4j.version}.version,maven,['${knife4j.version}'],1
project.dependencyManagement.dependencies.dependency.com.github.xiaoymin:knife4j-micro-spring-boot-starter:${knife4j.version}.artifactId,maven,['knife4j-micro-spring-boot-starter'],1
project.dependencyManagement.dependencies.dependency.com.github.xiaoymin:knife4j-micro-spring-boot-starter:${knife4j.version}.groupId,maven,['com.github.xiaoymin'],1
project.dependencyManagement.dependencies.dependency.com.github.xiaoymin:knife4j-micro-spring-boot-starter:${knife4j.version}.version,maven,['${knife4j.version}'],1
project.dependencyManagement.dependencies.dependency.com.github.xiaoymin:knife4j-openapi3-jakarta-spring-boot-starter:${knife4j.version}.artifactId,maven,['knife4j-openapi3-jakarta-spring-boot-starter'],1
project.dependencyManagement.dependencies.dependency.com.github.xiaoymin:knife4j-openapi3-jakarta-spring-boot-starter:${knife4j.version}.groupId,maven,['com.github.xiaoymin'],1
project.dependencyManagement.dependencies.dependency.com.github.xiaoymin:knife4j-openapi3-jakarta-spring-boot-starter:${knife4j.version}.version,maven,['${knife4j.version}'],1
project.dependencyManagement.dependencies.dependency.com.github.xiaoymin:knife4j-spring-boot-starter:${knife4j.version}.artifactId,maven,['knife4j-spring-boot-starter'],1
project.dependencyManagement.dependencies.dependency.com.github.xiaoymin:knife4j-spring-boot-starter:${knife4j.version}.groupId,maven,['com.github.xiaoymin'],1
project.dependencyManagement.dependencies.dependency.com.github.xiaoymin:knife4j-spring-boot-starter:${knife4j.version}.version,maven,['${knife4j.version}'],1
project.dependencyManagement.dependencies.dependency.com.macro.mall:mall-common:${mall-common.version}.artifactId,maven,['mall-common'],1
project.dependencyManagement.dependencies.dependency.com.macro.mall:mall-common:${mall-common.version}.groupId,maven,['com.macro.mall'],1
project.dependencyManagement.dependencies.dependency.com.macro.mall:mall-common:${mall-common.version}.version,maven,['${mall-common.version}'],1
project.dependencyManagement.dependencies.dependency.com.macro.mall:mall-mbg:${mall-mbg.version}.artifactId,maven,['mall-mbg'],1
project.dependencyManagement.dependencies.dependency.com.macro.mall:mall-mbg:${mall-mbg.version}.groupId,maven,['com.macro.mall'],1
project.dependencyManagement.dependencies.dependency.com.macro.mall:mall-mbg:${mall-mbg.version}.version,maven,['${mall-mbg.version}'],1
project.dependencyManagement.dependencies.dependency.com.macro.mall:mall-security:${mall-security.version}.artifactId,maven,['mall-security'],1
project.dependencyManagement.dependencies.dependency.com.macro.mall:mall-security:${mall-security.version}.groupId,maven,['com.macro.mall'],1
project.dependencyManagement.dependencies.dependency.com.macro.mall:mall-security:${mall-security.version}.version,maven,['${mall-security.version}'],1
project.dependencyManagement.dependencies.dependency.com.nimbusds:nimbus-jose-jwt:${nimbus-jose-jwt.version}.artifactId,maven,['nimbus-jose-jwt'],1
project.dependencyManagement.dependencies.dependency.com.nimbusds:nimbus-jose-jwt:${nimbus-jose-jwt.version}.groupId,maven,['com.nimbusds'],1
project.dependencyManagement.dependencies.dependency.com.nimbusds:nimbus-jose-jwt:${nimbus-jose-jwt.version}.version,maven,['${nimbus-jose-jwt.version}'],1
project.dependencyManagement.dependencies.dependency.de.codecentric:spring-boot-admin-starter-client:${spring-boot-admin.version}.artifactId,maven,['spring-boot-admin-starter-client'],1
project.dependencyManagement.dependencies.dependency.de.codecentric:spring-boot-admin-starter-client:${spring-boot-admin.version}.groupId,maven,['de.codecentric'],1
project.dependencyManagement.dependencies.dependency.de.codecentric:spring-boot-admin-starter-client:${spring-boot-admin.version}.version,maven,['${spring-boot-admin.version}'],1
project.dependencyManagement.dependencies.dependency.de.codecentric:spring-boot-admin-starter-server:${admin-starter-server.version}.artifactId,maven,['spring-boot-admin-starter-server'],1
project.dependencyManagement.dependencies.dependency.de.codecentric:spring-boot-admin-starter-server:${admin-starter-server.version}.groupId,maven,['de.codecentric'],1
project.dependencyManagement.dependencies.dependency.de.codecentric:spring-boot-admin-starter-server:${admin-starter-server.version}.version,maven,['${admin-starter-server.version}'],1
project.dependencyManagement.dependencies.dependency.de.codecentric:spring-boot-admin-starter-server:${spring-boot-admin.version}.artifactId,maven,['spring-boot-admin-starter-server'],1
project.dependencyManagement.dependencies.dependency.de.codecentric:spring-boot-admin-starter-server:${spring-boot-admin.version}.groupId,maven,['de.codecentric'],1
project.dependencyManagement.dependencies.dependency.de.codecentric:spring-boot-admin-starter-server:${spring-boot-admin.version}.version,maven,['${spring-boot-admin.version}'],1
project.dependencyManagement.dependencies.dependency.io.jsonwebtoken:jjwt:${jjwt.version}.artifactId,maven,['jjwt'],1
project.dependencyManagement.dependencies.dependency.io.jsonwebtoken:jjwt:${jjwt.version}.groupId,maven,['io.jsonwebtoken'],1
project.dependencyManagement.dependencies.dependency.io.jsonwebtoken:jjwt:${jjwt.version}.version,maven,['${jjwt.version}'],1
project.dependencyManagement.dependencies.dependency.io.minio:minio:${minio.version}.artifactId,maven,['minio'],1
project.dependencyManagement.dependencies.dependency.io.minio:minio:${minio.version}.groupId,maven,['io.minio'],1
project.dependencyManagement.dependencies.dependency.io.minio:minio:${minio.version}.version,maven,['${minio.version}'],1
project.dependencyManagement.dependencies.dependency.io.springfox:springfox-swagger-ui:${swagger2.version}.artifactId,maven,['springfox-swagger-ui'],1
project.dependencyManagement.dependencies.dependency.io.springfox:springfox-swagger-ui:${swagger2.version}.groupId,maven,['io.springfox'],1
project.dependencyManagement.dependencies.dependency.io.springfox:springfox-swagger-ui:${swagger2.version}.version,maven,['${swagger2.version}'],1
project.dependencyManagement.dependencies.dependency.io.springfox:springfox-swagger2:${swagger2.version}.artifactId,maven,['springfox-swagger2'],1
project.dependencyManagement.dependencies.dependency.io.springfox:springfox-swagger2:${swagger2.version}.groupId,maven,['io.springfox'],1
project.dependencyManagement.dependencies.dependency.io.springfox:springfox-swagger2:${swagger2.version}.version,maven,['${swagger2.version}'],1
project.dependencyManagement.dependencies.dependency.mysql:mysql-connector-java:${mysql-connector.version}.artifactId,maven,['mysql-connector-java'],1
project.dependencyManagement.dependencies.dependency.mysql:mysql-connector-java:${mysql-connector.version}.groupId,maven,['mysql'],1
project.dependencyManagement.dependencies.dependency.mysql:mysql-connector-java:${mysql-connector.version}.version,maven,['${mysql-connector.version}'],1
project.dependencyManagement.dependencies.dependency.net.logstash.logback:logstash-logback-encoder:${logstash-logback.version}.artifactId,maven,['logstash-logback-encoder'],1
project.dependencyManagement.dependencies.dependency.net.logstash.logback:logstash-logback-encoder:${logstash-logback.version}.groupId,maven,['net.logstash.logback'],1
project.dependencyManagement.dependencies.dependency.net.logstash.logback:logstash-logback-encoder:${logstash-logback.version}.version,maven,['${logstash-logback.version}'],1
project.dependencyManagement.dependencies.dependency.org.mybatis.generator:mybatis-generator-core:${mybatis-generator.version}.artifactId,maven,['mybatis-generator-core'],1
project.dependencyManagement.dependencies.dependency.org.mybatis.generator:mybatis-generator-core:${mybatis-generator.version}.groupId,maven,['org.mybatis.generator'],1
project.dependencyManagement.dependencies.dependency.org.mybatis.generator:mybatis-generator-core:${mybatis-generator.version}.version,maven,['${mybatis-generator.version}'],1
project.dependencyManagement.dependencies.dependency.org.mybatis.spring.boot:mybatis-spring-boot-starter:${mybatis-spring-boot-starter.version}.artifactId,maven,['mybatis-spring-boot-starter'],1
project.dependencyManagement.dependencies.dependency.org.mybatis.spring.boot:mybatis-spring-boot-starter:${mybatis-spring-boot-starter.version}.groupId,maven,['org.mybatis.spring.boot'],1
project.dependencyManagement.dependencies.dependency.org.mybatis.spring.boot:mybatis-spring-boot-starter:${mybatis-spring-boot-starter.version}.version,maven,['${mybatis-spring-boot-starter.version}'],1
project.dependencyManagement.dependencies.dependency.org.mybatis:mybatis:${mybatis.version}.artifactId,maven,['mybatis'],1
project.dependencyManagement.dependencies.dependency.org.mybatis:mybatis:${mybatis.version}.groupId,maven,['org.mybatis'],1
project.dependencyManagement.dependencies.dependency.org.mybatis:mybatis:${mybatis.version}.version,maven,['${mybatis.version}'],1
project.dependencyManagement.dependencies.dependency.org.springframework.cloud:spring-cloud-dependencies:${spring-cloud.version}.artifactId,maven,['spring-cloud-dependencies'],1
project.dependencyManagement.dependencies.dependency.org.springframework.cloud:spring-cloud-dependencies:${spring-cloud.version}.groupId,maven,['org.springframework.cloud'],1
project.dependencyManagement.dependencies.dependency.org.springframework.cloud:spring-cloud-dependencies:${spring-cloud.version}.scope,maven,['import'],1
project.dependencyManagement.dependencies.dependency.org.springframework.cloud:spring-cloud-dependencies:${spring-cloud.version}.type,maven,['pom'],1
project.dependencyManagement.dependencies.dependency.org.springframework.cloud:spring-cloud-dependencies:${spring-cloud.version}.version,maven,['${spring-cloud.version}'],1
project.dependencyManagement.dependencies.dependency.org.springframework.data:spring-data-commons:${spring-data-commons.version}.artifactId,maven,['spring-data-commons'],1
project.dependencyManagement.dependencies.dependency.org.springframework.data:spring-data-commons:${spring-data-commons.version}.groupId,maven,['org.springframework.data'],1
project.dependencyManagement.dependencies.dependency.org.springframework.data:spring-data-commons:${spring-data-commons.version}.version,maven,['${spring-data-commons.version}'],1
